student,presentAllTests,filter_045-8h_2-3problems,filter_045-8h_predCeiling,filter_045-8h,complete_twoThirds,filter_predCeiling,test,timeOnTutor,problemsStarted,school,class,condition,condition2,sequence,form,duration,pretest_total,sum_rel_NL,sum_rel_comp,sum_rel_transfer,sum_rel_recUnit,sum_rel_total,sum_rel_NL_transfer,sum_rel_NL_transfer_recUnit,sum_rel_transfer_recUnit,pretest_total_median
Stu_72912f5cea797e765ac757b485d4171c,1,1,1,1,1,1,1,3:39:24,126,2,17,2,moderate,17,2,0:28:00,0.502777778,0.3,1,0.416666667,0.541666667,0.502777778,0.353030303,0.403333334,0.472222223,1
Stu_f3bd3a1147c0c8f159840c4c2bed0288,1,1,1,1,1,1,1,2:57:32,126,3,23,4,increased,23,1,0:37:00,0.651851852,0.733333333,0.5,0.833333333,0.416666667,0.651851852,0.778787878,0.682222222,0.648148148,2
Stu_de050d27bc75537e6742b1be1186a330,1,1,1,1,1,1,1,2:39:45,112,1,5,5,circle,5,1,0:22:00,0.420370371,0.4,0.666666667,0.5,0.166666667,0.420370371,0.445454545,0.371111111,0.351851852,1
Stu_2a0b823d015e212365a16f380c1b54e8,1,1,1,1,1,1,1,3:26:55,126,2,17,4,increased,17,3,0:28:00,0.331481481,0.3,0,0.333333333,0.625,0.331481481,0.315151515,0.397777778,0.462962963,1
Stu_5948ec9e8a5c005506e31c84d6d8961b,1,1,1,1,1,1,1,3:11:52,126,2,15,2,moderate,15,1,0:22:00,0.514814815,0.433333333,0,0.833333333,0.625,0.514814815,0.615151515,0.617777778,0.740740741,1
Stu_0cfcc8521a7c73c8e642667a5314f321,1,1,0,1,1,0,1,2:52:59,111,1,3,2,moderate,3,3,0:21:00,0.737037037,0.6,0.5,1,0.791666667,0.737037037,0.781818182,0.784444445,0.907407408,2
Stu_8ebcacdced16cc8e3010875bc3514449,1,1,1,1,1,1,1,3:16:04,126,3,22,2,moderate,22,3,0:28:00,0.740740741,0.666666667,0.666666667,0.666666667,1,0.740740741,0.666666667,0.755555556,0.814814815,2
Stu_2fd29e4bc51bde5c4c548818b338f41f,1,1,1,1,1,1,1,3:14:41,126,1,4,2,moderate,4,3,0:20:00,0.731481481,0.666666667,0.333333333,0.833333333,1,0.731481481,0.742424242,0.811111111,0.907407407,2
Stu_991dbe0876d891ec67402c5bb7f2e9c1,1,1,1,1,1,1,1,4:45:00,118,3,20,7,numberline,20,2,0:22:00,0.274074074,0.1,0,0.333333333,0.666666667,0.274074074,0.206060606,0.328888889,0.481481481,1
Stu_d282bbbb232525570b1f511065832a7d,1,1,1,1,1,1,1,3:03:14,126,3,22,3,interleaved,22,2,0:30:00,0.385185185,0.433333333,0.333333333,0.666666667,0,0.385185185,0.539393939,0.395555556,0.370370371,1
Stu_03663f81703974bda3196288bbf66b81,1,1,1,1,1,1,1,4:14:56,111,2,9,4,increased,9,3,0:18:00,0.342592592,0.333333333,0,0.333333333,0.625,0.342592592,0.333333333,0.411111111,0.462962963,1
Stu_4c475c6c0ce9adccdb9a377674497465,1,1,1,1,1,1,1,3:20:55,126,2,15,1,blocked,15,2,0:20:00,0.588888889,0.266666667,1,0.666666667,0.666666667,0.588888889,0.448484849,0.506666667,0.666666667,2
Stu_8becc7995ad43a7a8f3379ac21130fba,1,1,1,1,1,1,1,4:13:43,126,2,9,4,increased,9,1,0:15:00,0.346296296,0.066666667,0,0.833333333,0.416666667,0.346296296,0.415151515,0.415555556,0.648148148,1
Stu_674d6e235d85444f74cacc9931b97bbd,1,1,0,1,1,0,1,2:51:02,118,1,6,7,numberline,6,2,0:28:00,0.755555556,0.6,0.5,1,0.875,0.755555556,0.781818182,0.806666667,0.944444444,2
Stu_fa84e85213b7569c7107fdb4be8fafbb,1,1,1,1,1,1,1,2:14:24,126,4,29,4,increased,29,3,0:22:00,0.37962963,0.166666667,0.166666667,0.666666667,0.5,0.37962963,0.393939394,0.422222222,0.592592593,1
Stu_84994d354a010153db418cacc5b143b7,1,1,1,1,1,1,1,2:53:26,126,2,17,4,increased,17,2,0:36:00,0.633333333,0.4,0.666666667,1,0.5,0.633333333,0.672727273,0.626666667,0.777777778,2
Stu_ca2e8b419e37b37a8ddce91700818441,1,1,1,1,1,1,1,7:07:46,126,3,23,1,blocked,23,3,0:20:00,0.633333333,0.733333333,0.666666667,0.666666667,0.416666667,0.633333333,0.703030303,0.626666667,0.555555556,2
Stu_babe5be7cf31b15d96831cc8c9bd7626,1,1,1,1,1,1,1,5:12:59,126,3,23,2,moderate,23,2,0:25:00,0.287037037,0,0.666666667,0.333333333,0.375,0.287037037,0.151515151,0.211111111,0.351851852,1
Stu_d5d61425646ed1d895555b8a5a9d0043,1,1,1,1,1,1,1,3:01:16,126,1,1,2,moderate,1,1,0:21:00,0.552777778,0.533333333,0,0.75,0.75,0.552777778,0.631818182,0.663333333,0.75,1
